District_Name,Taluk_Name,Month,Year,Commodity_Name,No_of_Active_FPS,No_of_Ration_Cards,No_of_Ration_Cards_Taken,No_of_Members_Taken,No_of_Members_Taken_eKYC,Lifting_Percentage,Quantity_Allotted_NFSA_Qtls,Quantity_Allotted_Annabhagya_Qtls
MYSURU,SARAGURU,June,2025,Sugar,44,26027,22186,70370,68705,85.24,0.0,0.0
MYSURU,SALIGRAMA,June,2025,Sugar,50,38440,30464,96903,95728,79.25,0.0,0.0
MYSURU,HEGGADADEVANKOTE,June,2025,Ragi,80,54258,45812,150585,147390,84.43,3217.78,0.0
MYSURU,HUNSUR,June,2025,Ragi,115,89371,68493,224359,218701,76.64,4609.56,0.0
MYSURU,KRISHNARAJANAGARA,June,2025,Ragi,42,39857,29142,90368,88951,73.12,1879.06,0.0
MYSURU,MYSURU,June,2025,Ragi,329,300471,183021,650047,641887,60.91,12606.14,0.0
MYSURU,NANJANGUD,June,2025,Ragi,133,113508,96519,308226,304298,85.03,6289.06,0.0
MYSURU,PIRIYAPATNA,June,2025,Ragi,91,71463,59370,189365,187048,83.08,4205.71,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,June,2025,Ragi,133,86678,69693,230414,226827,80.4,4785.86,0.0
MYSURU,SARAGURU,June,2025,Ragi,44,26027,22186,70370,68705,85.24,1481.36,0.0
MYSURU,SALIGRAMA,June,2025,Ragi,50,38440,30464,96903,95728,79.25,2051.2,0.0
MYSURU,HEGGADADEVANKOTE,July,2025,Rice,80,54160,46098,151852,148763,85.11,3453.22,6967.2
MYSURU,HUNSUR,July,2025,Rice,115,89207,69034,226372,220922,77.39,5184.32,10619.05
MYSURU,KRISHNARAJANAGARA,July,2025,Rice,42,39843,29774,92536,91222,74.73,2115.48,4309.2
MYSURU,MYSURU,July,2025,Rice,329,300471,183794,652761,645446,61.17,14743.69,31752.5
MYSURU,NANJANGUD,July,2025,Rice,133,113221,97114,310721,307105,85.77,6711.26,14927.45
MYSURU,PIRIYAPATNA,July,2025,Rice,91,71378,59687,190651,188459,83.62,4568.53,8586.4
MYSURU,TIRUMAKUDALA-NARSIPUR,July,2025,Rice,133,86551,70193,232473,229112,81.1,5185.78,10951.8
MYSURU,SARAGURU,July,2025,Rice,44,25956,22159,70225,68927,85.37,1566.11,3272.55
MYSURU,SALIGRAMA,July,2025,Rice,50,38380,30774,98111,97028,80.18,2237.77,4534.45
MYSURU,HEGGADADEVANKOTE,July,2025,Wheat,80,54160,46098,151852,148763,85.11,0.0,0.0
MYSURU,HUNSUR,July,2025,Wheat,115,89207,69034,226372,220922,77.39,0.0,0.0
MYSURU,KRISHNARAJANAGARA,July,2025,Wheat,42,39843,29774,92536,91222,74.73,0.0,0.0
MYSURU,MYSURU,July,2025,Wheat,329,300471,183794,652761,645446,61.17,0.0,0.0
MYSURU,NANJANGUD,July,2025,Wheat,133,113221,97114,310721,307105,85.77,0.0,0.0
MYSURU,PIRIYAPATNA,July,2025,Wheat,91,71378,59687,190651,188459,83.62,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,July,2025,Wheat,133,86551,70193,232473,229112,81.1,0.0,0.0
MYSURU,SARAGURU,July,2025,Wheat,44,25956,22159,70225,68927,85.37,0.0,0.0
MYSURU,SALIGRAMA,July,2025,Wheat,50,38380,30774,98111,97028,80.18,0.0,0.0
MYSURU,HEGGADADEVANKOTE,July,2025,Sugar,80,54160,46098,151852,148763,85.11,0.0,0.0
MYSURU,HUNSUR,July,2025,Sugar,115,89207,69034,226372,220922,77.39,0.0,0.0
MYSURU,KRISHNARAJANAGARA,July,2025,Sugar,42,39843,29774,92536,91222,74.73,0.0,0.0
MYSURU,MYSURU,July,2025,Sugar,329,300471,183794,652761,645446,61.17,0.0,0.0
MYSURU,NANJANGUD,July,2025,Sugar,133,113221,97114,310721,307105,85.77,0.0,0.0
MYSURU,PIRIYAPATNA,July,2025,Sugar,91,71378,59687,190651,188459,83.62,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,July,2025,Sugar,133,86551,70193,232473,229112,81.1,0.0,0.0
MYSURU,SARAGURU,July,2025,Sugar,44,25956,22159,70225,68927,85.37,0.0,0.0
MYSURU,SALIGRAMA,July,2025,Sugar,50,38380,30774,98111,97028,80.18,0.0,0.0
MYSURU,HEGGADADEVANKOTE,July,2025,Ragi,80,54160,46098,151852,148763,85.11,4863.18,0.0
MYSURU,HUNSUR,July,2025,Ragi,115,89207,69034,226372,220922,77.39,6968.28,0.0
MYSURU,KRISHNARAJANAGARA,July,2025,Ragi,42,39843,29774,92536,91222,74.73,2885.82,0.0
MYSURU,MYSURU,July,2025,Ragi,329,300471,183794,652761,645446,61.17,18970.16,0.0
MYSURU,NANJANGUD,July,2025,Ragi,133,113221,97114,310721,307105,85.77,9502.44,0.0
MYSURU,PIRIYAPATNA,July,2025,Ragi,91,71378,59687,190651,188459,83.62,6337.92,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,July,2025,Ragi,133,86551,70193,232473,229112,81.1,7235.97,0.0
MYSURU,SARAGURU,July,2025,Ragi,44,25956,22159,70225,68927,85.37,2216.54,0.0
MYSURU,SALIGRAMA,July,2025,Ragi,50,38380,30774,98111,97028,80.18,3112.68,0.0
MYSURU,HEGGADADEVANKOTE,August,2025,Rice,80,54139,45896,151636,148698,84.77,3443.4,6960.3
MYSURU,HUNSUR,August,2025,Rice,115,89161,68279,224733,220164,76.58,5145.43,10543.65
MYSURU,KRISHNARAJANAGARA,August,2025,Rice,42,39847,29843,92858,91788,74.89,2123.87,4324.0
MYSURU,MYSURU,August,2025,Rice,329,300560,183388,652634,646646,61.02,14738.66,31749.25
MYSURU,NANJANGUD,August,2025,Rice,133,113039,96504,309850,307056,85.37,6690.26,14885.9
MYSURU,PIRIYAPATNA,August,2025,Rice,91,71356,58888,188422,186582,82.53,4514.98,8486.05
MYSURU,TIRUMAKUDALA-NARSIPUR,August,2025,Rice,133,86471,69991,232587,229596,80.94,5185.69,10961.65
MYSURU,SARAGURU,August,2025,Rice,44,25953,21710,68935,67833,83.65,1535.55,3213.7
MYSURU,SALIGRAMA,August,2025,Rice,50,38361,30595,97623,96699,79.76,2226.96,4510.55
MYSURU,HEGGADADEVANKOTE,August,2025,Wheat,80,54139,45896,151636,148698,84.77,0.0,0.0
MYSURU,HUNSUR,August,2025,Wheat,115,89161,68279,224733,220164,76.58,0.0,0.0
MYSURU,KRISHNARAJANAGARA,August,2025,Wheat,42,39847,29843,92858,91788,74.89,0.0,0.0
MYSURU,MYSURU,August,2025,Wheat,329,300560,183388,652634,646646,61.02,0.0,0.0
MYSURU,NANJANGUD,August,2025,Wheat,133,113039,96504,309850,307056,85.37,0.0,0.0
MYSURU,PIRIYAPATNA,August,2025,Wheat,91,71356,58888,188422,186582,82.53,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,August,2025,Wheat,133,86471,69991,232587,229596,80.94,0.0,0.0
MYSURU,SARAGURU,August,2025,Wheat,44,25953,21710,68935,67833,83.65,0.0,0.0
MYSURU,SALIGRAMA,August,2025,Wheat,50,38361,30595,97623,96699,79.76,0.0,0.0
MYSURU,HEGGADADEVANKOTE,August,2025,Sugar,80,54139,45896,151636,148698,84.77,0.0,0.0
MYSURU,HUNSUR,August,2025,Sugar,115,89161,68279,224733,220164,76.58,0.0,0.0
MYSURU,KRISHNARAJANAGARA,August,2025,Sugar,42,39847,29843,92858,91788,74.89,0.0,0.0
MYSURU,MYSURU,August,2025,Sugar,329,300560,183388,652634,646646,61.02,0.0,0.0
MYSURU,NANJANGUD,August,2025,Sugar,133,113039,96504,309850,307056,85.37,0.0,0.0
MYSURU,PIRIYAPATNA,August,2025,Sugar,91,71356,58888,188422,186582,82.53,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,August,2025,Sugar,133,86471,69991,232587,229596,80.94,0.0,0.0
MYSURU,SARAGURU,August,2025,Sugar,44,25953,21710,68935,67833,83.65,0.0,0.0
MYSURU,SALIGRAMA,August,2025,Sugar,50,38361,30595,97623,96699,79.76,0.0,0.0
MYSURU,HEGGADADEVANKOTE,August,2025,Ragi,80,54139,45896,151636,148698,84.77,4856.95,0.0
MYSURU,HUNSUR,August,2025,Ragi,115,89161,68279,224733,220164,76.58,6919.32,0.0
MYSURU,KRISHNARAJANAGARA,August,2025,Ragi,42,39847,29843,92858,91788,74.89,2896.48,0.0
MYSURU,MYSURU,August,2025,Ragi,329,300560,183388,652634,646646,61.02,18966.29,0.0
MYSURU,NANJANGUD,August,2025,Ragi,133,113039,96504,309850,307056,85.37,9478.89,0.0
MYSURU,PIRIYAPATNA,August,2025,Ragi,91,71356,58888,188422,186582,82.53,6264.47,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,August,2025,Ragi,133,86471,69991,232587,229596,80.94,7236.11,0.0
MYSURU,SARAGURU,August,2025,Ragi,44,25953,21710,68935,67833,83.65,2177.3,0.0
MYSURU,SALIGRAMA,August,2025,Ragi,50,38361,30595,97623,96699,79.76,3099.84,0.0
MYSURU,HEGGADADEVANKOTE,September,2025,Rice,80,54137,45614,151007,148427,84.26,3433.52,6933.25
MYSURU,HUNSUR,September,2025,Rice,115,89195,67723,222881,218906,75.93,5099.28,10462.85
MYSURU,KRISHNARAJANAGARA,September,2025,Rice,42,39850,29747,92203,91715,74.65,2112.44,4294.2
MYSURU,MYSURU,September,2025,Rice,329,300524,184833,659315,654483,61.5,14901.76,32083.3
MYSURU,NANJANGUD,September,2025,Rice,133,113001,96069,308811,306894,85.02,6676.31,14835.3
MYSURU,PIRIYAPATNA,September,2025,Rice,91,71316,59183,189467,188248,82.99,4543.16,8536.35
MYSURU,TIRUMAKUDALA-NARSIPUR,September,2025,Rice,133,86430,69857,232781,230026,80.82,5196.23,10976.0
MYSURU,SARAGURU,September,2025,Rice,44,25955,21537,68673,67738,82.98,1533.11,3199.75
MYSURU,SALIGRAMA,September,2025,Rice,50,38352,30616,97271,96957,79.83,2224.04,4493.25
MYSURU,HEGGADADEVANKOTE,September,2025,Wheat,80,54137,45614,151007,148427,84.26,0.0,0.0
MYSURU,HUNSUR,September,2025,Wheat,115,89195,67723,222881,218906,75.93,0.0,0.0
MYSURU,KRISHNARAJANAGARA,September,2025,Wheat,42,39850,29747,92203,91715,74.65,0.0,0.0
MYSURU,MYSURU,September,2025,Wheat,329,300524,184833,659315,654483,61.5,0.0,0.0
MYSURU,NANJANGUD,September,2025,Wheat,133,113001,96069,308811,306894,85.02,0.0,0.0
MYSURU,PIRIYAPATNA,September,2025,Wheat,91,71316,59183,189467,188248,82.99,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,September,2025,Wheat,133,86430,69857,232781,230026,80.82,0.0,0.0
MYSURU,SARAGURU,September,2025,Wheat,44,25955,21537,68673,67738,82.98,0.0,0.0
MYSURU,SALIGRAMA,September,2025,Wheat,50,38352,30616,97271,96957,79.83,0.0,0.0
MYSURU,HEGGADADEVANKOTE,September,2025,Sugar,80,54137,45614,151007,148427,84.26,0.0,0.0
MYSURU,HUNSUR,September,2025,Sugar,115,89195,67723,222881,218906,75.93,0.0,0.0
MYSURU,KRISHNARAJANAGARA,September,2025,Sugar,42,39850,29747,92203,91715,74.65,0.0,0.0
MYSURU,MYSURU,September,2025,Sugar,329,300524,184833,659315,654483,61.5,0.0,0.0
MYSURU,NANJANGUD,September,2025,Sugar,133,113001,96069,308811,306894,85.02,0.0,0.0
MYSURU,PIRIYAPATNA,September,2025,Sugar,91,71316,59183,189467,188248,82.99,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,September,2025,Sugar,133,86430,69857,232781,230026,80.82,0.0,0.0
MYSURU,SARAGURU,September,2025,Sugar,44,25955,21537,68673,67738,82.98,0.0,0.0
MYSURU,SALIGRAMA,September,2025,Sugar,50,38352,30616,97271,96957,79.83,0.0,0.0
MYSURU,HEGGADADEVANKOTE,September,2025,Ragi,80,54137,45614,151007,148427,84.26,4832.88,0.0
MYSURU,HUNSUR,September,2025,Ragi,115,89195,67723,222881,218906,75.93,6857.97,0.0
MYSURU,KRISHNARAJANAGARA,September,2025,Ragi,42,39850,29747,92203,91715,74.65,2875.56,0.0
MYSURU,MYSURU,September,2025,Ragi,329,300524,184833,659315,654483,61.5,19140.09,0.0
MYSURU,NANJANGUD,September,2025,Ragi,133,113001,96069,308811,306894,85.02,9443.94,0.0
MYSURU,PIRIYAPATNA,September,2025,Ragi,91,71316,59183,189467,188248,82.99,6296.34,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,September,2025,Ragi,133,86430,69857,232781,230026,80.82,7230.02,0.0
MYSURU,SARAGURU,September,2025,Ragi,44,25955,21537,68673,67738,82.98,2168.19,0.0
MYSURU,SALIGRAMA,September,2025,Ragi,50,38352,30616,97271,96957,79.83,3090.36,0.0
MYSURU,HEGGADADEVANKOTE,October,2025,Rice,80,54119,45720,151400,148947,84.48,3443.18,6953.45
MYSURU,HUNSUR,October,2025,Rice,115,89150,68278,224845,221237,76.59,5159.82,10555.35
MYSURU,KRISHNARAJANAGARA,October,2025,Rice,42,39866,30104,93336,92901,75.51,2138.24,4347.55
MYSURU,MYSURU,October,2025,Rice,329,300515,184752,658521,654392,61.48,14888.07,32054.1
MYSURU,NANJANGUD,October,2025,Rice,133,112930,95692,307411,305902,84.74,6650.17,14765.45
MYSURU,PIRIYAPATNA,October,2025,Rice,91,71290,59381,189401,188547,83.29,4550.6,8529.05
MYSURU,TIRUMAKUDALA-NARSIPUR,October,2025,Rice,133,86349,69920,232783,230309,80.97,5201.32,10973.15
MYSURU,SARAGURU,October,2025,Rice,44,25954,21632,68916,68048,83.35,1536.52,3211.65
MYSURU,SALIGRAMA,October,2025,Rice,50,38350,30612,97289,96988,79.82,2222.14,4493.5
MYSURU,HEGGADADEVANKOTE,October,2025,Wheat,80,54119,45720,151400,148947,84.48,0.0,0.0
MYSURU,HUNSUR,October,2025,Wheat,115,89150,68278,224845,221237,76.59,0.0,0.0
MYSURU,KRISHNARAJANAGARA,October,2025,Wheat,42,39866,30104,93336,92901,75.51,0.0,0.0
MYSURU,MYSURU,October,2025,Wheat,329,300515,184752,658521,654392,61.48,0.0,0.0
MYSURU,NANJANGUD,October,2025,Wheat,133,112930,95692,307411,305902,84.74,0.0,0.0
MYSURU,PIRIYAPATNA,October,2025,Wheat,91,71290,59381,189401,188547,83.29,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,October,2025,Wheat,133,86349,69920,232783,230309,80.97,0.0,0.0
MYSURU,SARAGURU,October,2025,Wheat,44,25954,21632,68916,68048,83.35,0.0,0.0
MYSURU,SALIGRAMA,October,2025,Wheat,50,38350,30612,97289,96988,79.82,0.0,0.0
MYSURU,HEGGADADEVANKOTE,October,2025,Sugar,80,54119,45720,151400,148947,84.48,0.0,0.0
MYSURU,HUNSUR,October,2025,Sugar,115,89150,68278,224845,221237,76.59,0.0,0.0
MYSURU,KRISHNARAJANAGARA,October,2025,Sugar,42,39866,30104,93336,92901,75.51,0.0,0.0
MYSURU,MYSURU,October,2025,Sugar,329,300515,184752,658521,654392,61.48,0.0,0.0
MYSURU,NANJANGUD,October,2025,Sugar,133,112930,95692,307411,305902,84.74,0.0,0.0
MYSURU,PIRIYAPATNA,October,2025,Sugar,91,71290,59381,189401,188547,83.29,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,October,2025,Sugar,133,86349,69920,232783,230309,80.97,0.0,0.0
MYSURU,SARAGURU,October,2025,Sugar,44,25954,21632,68916,68048,83.35,0.0,0.0
MYSURU,SALIGRAMA,October,2025,Sugar,50,38350,30612,97289,96988,79.82,0.0,0.0
MYSURU,HEGGADADEVANKOTE,October,2025,Ragi,80,54119,45720,151400,148947,84.48,4841.07,0.0
MYSURU,HUNSUR,October,2025,Ragi,115,89150,68278,224845,221237,76.59,6906.93,0.0
MYSURU,KRISHNARAJANAGARA,October,2025,Ragi,42,39866,30104,93336,92901,75.51,2910.21,0.0
MYSURU,MYSURU,October,2025,Ragi,329,300515,184752,658521,654392,61.48,19105.08,0.0
MYSURU,NANJANGUD,October,2025,Ragi,133,112930,95692,307411,305902,84.74,9400.38,0.0
MYSURU,PIRIYAPATNA,October,2025,Ragi,91,71290,59381,189401,188547,83.29,6301.05,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,October,2025,Ragi,133,86349,69920,232783,230309,80.97,7230.78,0.0
MYSURU,SARAGURU,October,2025,Ragi,44,25954,21632,68916,68048,83.35,2178.03,0.0
MYSURU,SALIGRAMA,October,2025,Ragi,50,38350,30612,97289,96988,79.82,3092.91,0.0
MYSURU,HEGGADADEVANKOTE,November,2025,Rice,80,53694,45328,150619,148240,84.42,3417.2,6919.6
MYSURU,HUNSUR,November,2025,Rice,115,88316,67713,223373,219986,76.67,5103.69,10485.95
MYSURU,KRISHNARAJANAGARA,November,2025,Rice,42,39863,29695,92117,91695,74.49,2108.87,4292.35
MYSURU,MYSURU,November,2025,Rice,329,299841,183177,654124,650186,61.09,14659.15,31839.95
MYSURU,NANJANGUD,November,2025,Rice,133,112654,94884,305340,303920,84.23,6587.14,14666.6
MYSURU,PIRIYAPATNA,November,2025,Rice,91,70628,58721,187746,186922,83.14,4499.4,8454.6
MYSURU,TIRUMAKUDALA-NARSIPUR,November,2025,Rice,133,85582,69473,231600,229218,81.18,5156.54,10914.25
MYSURU,SARAGURU,November,2025,Rice,44,25671,21912,69889,69034,85.36,1555.05,3258.35
MYSURU,SALIGRAMA,November,2025,Rice,50,38326,30301,96221,95931,79.06,2195.97,4444.1
MYSURU,HEGGADADEVANKOTE,November,2025,Wheat,80,53694,45328,150619,148240,84.42,0.0,0.0
MYSURU,HUNSUR,November,2025,Wheat,115,88316,67713,223373,219986,76.67,0.0,0.0
MYSURU,KRISHNARAJANAGARA,November,2025,Wheat,42,39863,29695,92117,91695,74.49,0.0,0.0
MYSURU,MYSURU,November,2025,Wheat,329,299841,183177,654124,650186,61.09,0.0,0.0
MYSURU,NANJANGUD,November,2025,Wheat,133,112654,94884,305340,303920,84.23,0.0,0.0
MYSURU,PIRIYAPATNA,November,2025,Wheat,91,70628,58721,187746,186922,83.14,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,November,2025,Wheat,133,85582,69473,231600,229218,81.18,0.0,0.0
MYSURU,SARAGURU,November,2025,Wheat,44,25671,21912,69889,69034,85.36,0.0,0.0
MYSURU,SALIGRAMA,November,2025,Wheat,50,38326,30301,96221,95931,79.06,0.0,0.0
MYSURU,HEGGADADEVANKOTE,November,2025,Sugar,80,53694,45328,150619,148240,84.42,0.0,0.0
MYSURU,HUNSUR,November,2025,Sugar,115,88316,67713,223373,219986,76.67,0.0,0.0
MYSURU,KRISHNARAJANAGARA,November,2025,Sugar,42,39863,29695,92117,91695,74.49,0.0,0.0
MYSURU,MYSURU,November,2025,Sugar,329,299841,183177,654124,650186,61.09,0.0,0.0
MYSURU,NANJANGUD,November,2025,Sugar,133,112654,94884,305340,303920,84.23,0.0,0.0
MYSURU,PIRIYAPATNA,November,2025,Sugar,91,70628,58721,187746,186922,83.14,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,November,2025,Sugar,133,85582,69473,231600,229218,81.18,0.0,0.0
MYSURU,SARAGURU,November,2025,Sugar,44,25671,21912,69889,69034,85.36,0.0,0.0
MYSURU,SALIGRAMA,November,2025,Sugar,50,38326,30301,96221,95931,79.06,0.0,0.0
MYSURU,HEGGADADEVANKOTE,November,2025,Ragi,80,53694,45328,150619,148240,84.42,4821.1,0.0
MYSURU,HUNSUR,November,2025,Ragi,115,88316,67713,223373,219986,76.67,6883.11,0.0
MYSURU,KRISHNARAJANAGARA,November,2025,Ragi,42,39863,29695,92117,91695,74.49,2871.03,0.0
MYSURU,MYSURU,November,2025,Ragi,329,299841,183177,654124,650186,61.09,19105.35,0.0
MYSURU,NANJANGUD,November,2025,Ragi,133,112654,94884,305340,303920,84.23,9355.56,0.0
MYSURU,PIRIYAPATNA,November,2025,Ragi,91,70628,58721,187746,186922,83.14,6251.25,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,November,2025,Ragi,133,85582,69473,231600,229218,81.18,7217.36,0.0
MYSURU,SARAGURU,November,2025,Ragi,44,25671,21912,69889,69034,85.36,2210.25,0.0
MYSURU,SALIGRAMA,November,2025,Ragi,50,38326,30301,96221,95931,79.06,3061.53,0.0
MYSURU,HEGGADADEVANKOTE,December,2025,Rice,80,53693,45436,151295,148921,84.62,8245.05,6948.35
MYSURU,HUNSUR,December,2025,Rice,115,88205,68051,224966,221675,77.15,10724.29,10566.85
MYSURU,KRISHNARAJANAGARA,December,2025,Rice,42,39877,29814,92718,92293,74.76,4605.74,4322.4
MYSURU,MYSURU,December,2025,Rice,329,299882,184177,658868,654947,61.42,33310.96,32075.5
MYSURU,NANJANGUD,December,2025,Rice,133,112615,95276,307183,305755,84.6,14698.72,14757.8
MYSURU,PIRIYAPATNA,December,2025,Rice,91,70611,59301,190096,189264,83.98,10418.75,8571.65
MYSURU,TIRUMAKUDALA-NARSIPUR,December,2025,Rice,133,85576,69687,233108,230761,81.43,11422.75,10989.2
MYSURU,SARAGURU,December,2025,Rice,44,25668,21635,69224,68405,84.29,3658.6,3227.45
MYSURU,SALIGRAMA,December,2025,Rice,50,38325,30273,96387,96106,78.99,4835.79,4452.65
MYSURU,HEGGADADEVANKOTE,December,2025,Wheat,80,53693,45436,151295,148921,84.62,0.0,0.0
MYSURU,HUNSUR,December,2025,Wheat,115,88205,68051,224966,221675,77.15,0.0,0.0
MYSURU,KRISHNARAJANAGARA,December,2025,Wheat,42,39877,29814,92718,92293,74.76,0.0,0.0
MYSURU,MYSURU,December,2025,Wheat,329,299882,184177,658868,654947,61.42,0.0,0.0
MYSURU,NANJANGUD,December,2025,Wheat,133,112615,95276,307183,305755,84.6,0.0,0.0
MYSURU,PIRIYAPATNA,December,2025,Wheat,91,70611,59301,190096,189264,83.98,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,December,2025,Wheat,133,85576,69687,233108,230761,81.43,0.0,0.0
MYSURU,SARAGURU,December,2025,Wheat,44,25668,21635,69224,68405,84.29,0.0,0.0
MYSURU,SALIGRAMA,December,2025,Wheat,50,38325,30273,96387,96106,78.99,0.0,0.0
MYSURU,HEGGADADEVANKOTE,December,2025,Sugar,80,53693,45436,151295,148921,84.62,0.0,0.0
MYSURU,HUNSUR,December,2025,Sugar,115,88205,68051,224966,221675,77.15,0.0,0.0
MYSURU,KRISHNARAJANAGARA,December,2025,Sugar,42,39877,29814,92718,92293,74.76,0.0,0.0
MYSURU,MYSURU,December,2025,Sugar,329,299882,184177,658868,654947,61.42,0.0,0.0
MYSURU,NANJANGUD,December,2025,Sugar,133,112615,95276,307183,305755,84.6,0.0,0.0
MYSURU,PIRIYAPATNA,December,2025,Sugar,91,70611,59301,190096,189264,83.98,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,December,2025,Sugar,133,85576,69687,233108,230761,81.43,0.0,0.0
MYSURU,SARAGURU,December,2025,Sugar,44,25668,21635,69224,68405,84.29,0.0,0.0
MYSURU,SALIGRAMA,December,2025,Sugar,50,38325,30273,96387,96106,78.99,0.0,0.0
MYSURU,HEGGADADEVANKOTE,December,2025,Ragi,80,53693,45436,151295,148921,84.62,34.3,0.0
MYSURU,HUNSUR,December,2025,Ragi,115,88205,68051,224966,221675,77.15,1340.26,0.0
MYSURU,KRISHNARAJANAGARA,December,2025,Ragi,42,39877,29814,92718,92293,74.76,405.21,0.0
MYSURU,MYSURU,December,2025,Ragi,329,299882,184177,658868,654947,61.42,694.19,0.0
MYSURU,NANJANGUD,December,2025,Ragi,133,112615,95276,307183,305755,84.6,1338.48,0.0
MYSURU,PIRIYAPATNA,December,2025,Ragi,91,70611,59301,190096,189264,83.98,447.3,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,December,2025,Ragi,133,85576,69687,233108,230761,81.43,1028.0,0.0
MYSURU,SARAGURU,December,2025,Ragi,44,25668,21635,69224,68405,84.29,70.5,0.0
MYSURU,SALIGRAMA,December,2025,Ragi,50,38325,30273,96387,96106,78.99,429.96,0.0
MYSURU,HEGGADADEVANKOTE,January,2026,Rice,80,53706,44489,147805,145519,82.84,8081.94,6793.05
MYSURU,HUNSUR,January,2026,Rice,115,88205,67503,222978,219763,76.53,11951.72,10471.55
MYSURU,KRISHNARAJANAGARA,January,2026,Rice,42,39892,29177,90665,90248,73.14,4896.68,4226.2
MYSURU,MYSURU,January,2026,Rice,329,299926,177945,633250,629483,59.33,32625.94,30805.85
MYSURU,NANJANGUD,January,2026,Rice,133,112591,94637,305208,303826,84.05,15875.44,14662.35
MYSURU,PIRIYAPATNA,January,2026,Rice,91,70616,57967,185340,184526,82.09,10593.11,8354.15
